_id,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,meta,question,url,user.username,user.slug,user.displayName,user,scraped_content
htDnKvr5cGx7mnSwZ,9 Strategies for Effective Donors ,9-strategies-for-effective-donors,https://www.lesswrong.com/posts/htDnKvr5cGx7mnSwZ/9-strategies-for-effective-donors,2016-02-29T18:33:32.636Z,-5,10,8,False,False,,Gleb_Tsipursky,gleb_tsipursky,Gleb_Tsipursky,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/htDnKvr5cGx7mnSwZ/9-strategies-for-effective-donors
WD2wfXBscX782T8en,"Open Thread Feb 29 - March 6, 2016",open-thread-feb-29-march-6-2016,https://www.lesswrong.com/posts/WD2wfXBscX782T8en/open-thread-feb-29-march-6-2016,2016-02-28T22:11:18.454Z,9,5,289,False,False,,Elo,elo,Elo,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/WD2wfXBscX782T8en/open-thread-feb-29-march-6-2016
CrCBnMjSfazQNwt3Y,"Meetup : Ann Arbor Meetup - Saturday, March 5, 7 PM, Amer's",meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s,https://www.lesswrong.com/posts/CrCBnMjSfazQNwt3Y/meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s,2016-02-28T22:01:29.861Z,1,1,1,False,False,,Bound_up,bound_up,Bound_up,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/CrCBnMjSfazQNwt3Y/meetup-ann-arbor-meetup-saturday-march-5-7-pm-amer-s
kidpjsxCwfsgH4hQK,Conclusion of the Replacing Guilt series,conclusion-of-the-replacing-guilt-series,https://www.lesswrong.com/posts/kidpjsxCwfsgH4hQK/conclusion-of-the-replacing-guilt-series,2016-02-28T03:00:00.000Z,17,9,0,False,False,https://mindingourway.com/guilt-conclusion/,So8res,so8res,So8res,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/kidpjsxCwfsgH4hQK/conclusion-of-the-replacing-guilt-series
nBB4gNm8fhR2Yh34T,Goal setting journal (March 2016),goal-setting-journal-march-2016,https://www.lesswrong.com/posts/nBB4gNm8fhR2Yh34T/goal-setting-journal-march-2016,2016-02-27T09:39:37.638Z,6,4,12,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/nBB4gNm8fhR2Yh34T/goal-setting-journal-march-2016
rvFzgeracFc7PRxf4,Go see Ex Machina,go-see-ex-machina,https://www.lesswrong.com/posts/rvFzgeracFc7PRxf4/go-see-ex-machina,2016-02-26T21:44:29.096Z,-3,8,4,False,False,,lisper,lisper,lisper,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/rvFzgeracFc7PRxf4/go-see-ex-machina
pbAQQZnD2dGhsDckE,Weekly LW Meetups,weekly-lw-meetups-130,https://www.lesswrong.com/posts/pbAQQZnD2dGhsDckE/weekly-lw-meetups-130,2016-02-26T16:38:39.208Z,1,1,0,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/pbAQQZnD2dGhsDckE/weekly-lw-meetups-130
xsoS2bzZXfC8tKFoM,"If there IS alien super-inteligence in our own galaxy, then what it could be like?",if-there-is-alien-super-inteligence-in-our-own-galaxy-then,https://www.lesswrong.com/posts/xsoS2bzZXfC8tKFoM/if-there-is-alien-super-inteligence-in-our-own-galaxy-then,2016-02-26T11:55:46.779Z,8,9,59,False,False,,Coacher,coacher,Coacher,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/xsoS2bzZXfC8tKFoM/if-there-is-alien-super-inteligence-in-our-own-galaxy-then
cSnayX3PJAMhfz28R,Is altruistic deception really necessary? Social activism and the free market,is-altruistic-deception-really-necessary-social-activism-and,https://www.lesswrong.com/posts/cSnayX3PJAMhfz28R/is-altruistic-deception-really-necessary-social-activism-and,2016-02-26T06:38:16.032Z,9,11,96,False,False,,PhilGoetz,philgoetz,PhilGoetz,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/cSnayX3PJAMhfz28R/is-altruistic-deception-really-necessary-social-activism-and
vfKtZYXpxNkje7JKF,The Philosophical Implications of Quantum Information Theory,the-philosophical-implications-of-quantum-information-theory,https://www.lesswrong.com/posts/vfKtZYXpxNkje7JKF/the-philosophical-implications-of-quantum-information-theory,2016-02-26T02:00:27.888Z,9,16,55,False,False,,lisper,lisper,lisper,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/vfKtZYXpxNkje7JKF/the-philosophical-implications-of-quantum-information-theory
htCBHjWNvzScEhFoA,Toy model: convergent instrumental goals,toy-model-convergent-instrumental-goals,https://www.lesswrong.com/posts/htCBHjWNvzScEhFoA/toy-model-convergent-instrumental-goals,2016-02-25T14:03:54.016Z,16,10,2,False,False,,Stuart_Armstrong,stuart_armstrong,Stuart_Armstrong,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/htCBHjWNvzScEhFoA/toy-model-convergent-instrumental-goals
Cd6uMn4qHXZcoe2Lh,Discussion: weighting inside view versus outside view on extinction events,discussion-weighting-inside-view-versus-outside-view-on,https://www.lesswrong.com/posts/Cd6uMn4qHXZcoe2Lh/discussion-weighting-inside-view-versus-outside-view-on,2016-02-25T05:18:15.378Z,5,4,4,False,False,,Ilverin,ilverin-the-stupid-and-offensive,Ilverin the Stupid and Offensive,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/Cd6uMn4qHXZcoe2Lh/discussion-weighting-inside-view-versus-outside-view-on
6cyo2qQRAhYMaTsfw,Meetup : San Francisco Meetup: Fun and Games,meetup-san-francisco-meetup-fun-and-games-3,https://www.lesswrong.com/posts/6cyo2qQRAhYMaTsfw/meetup-san-francisco-meetup-fun-and-games-3,2016-02-25T02:28:34.123Z,1,1,0,False,False,,rocurley,rocurley,rocurley,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/6cyo2qQRAhYMaTsfw/meetup-san-francisco-meetup-fun-and-games-3
aJSJmx2f2SGwtiJsH,Rationality Reading Group: Part U: Fake Preferences,rationality-reading-group-part-u-fake-preferences,https://www.lesswrong.com/posts/aJSJmx2f2SGwtiJsH/rationality-reading-group-part-u-fake-preferences,2016-02-24T23:29:06.972Z,8,5,5,False,False,,Gram_Stone,gram_stone,Gram_Stone,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/aJSJmx2f2SGwtiJsH/rationality-reading-group-part-u-fake-preferences
5bd75cc58225bf06703750e9,Failures of throttling logical information,failures-of-throttling-logical-information,https://www.lesswrong.com/posts/5bd75cc58225bf06703750e9/failures-of-throttling-logical-information,2016-02-24T22:05:51.000Z,2,2,0,False,False,,TsviBT,tsvibt,TsviBT,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/5bd75cc58225bf06703750e9/failures-of-throttling-logical-information
5bd75cc58225bf06703750e8,Speculations on information under logical uncertainty,speculations-on-information-under-logical-uncertainty,https://www.lesswrong.com/posts/5bd75cc58225bf06703750e8/speculations-on-information-under-logical-uncertainty,2016-02-24T21:58:57.000Z,1,1,0,False,False,,TsviBT,tsvibt,TsviBT,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/5bd75cc58225bf06703750e8/speculations-on-information-under-logical-uncertainty
oRmAgBTCcqveCWgBh,Meetup : Seattle Rationality Reading Group,meetup-seattle-rationality-reading-group,https://www.lesswrong.com/posts/oRmAgBTCcqveCWgBh/meetup-seattle-rationality-reading-group,2016-02-24T21:12:38.395Z,1,1,1,False,False,,CBHacking,seekingeternity,SeekingEternity,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/oRmAgBTCcqveCWgBh/meetup-seattle-rationality-reading-group
yE2yoH7vYGFr3LqJ2,"Meetup : Washington, D.C.: Mini Talks",meetup-washington-d-c-mini-talks-5,https://www.lesswrong.com/posts/yE2yoH7vYGFr3LqJ2/meetup-washington-d-c-mini-talks-5,2016-02-24T02:59:22.034Z,2,1,0,False,False,,RobinZ,robinz,RobinZ,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/yE2yoH7vYGFr3LqJ2/meetup-washington-d-c-mini-talks-5
DtmFmKm86wPrxqCSg,"If there was one element of statistical literacy that you could magically implant in every head, what would it be?",if-there-was-one-element-of-statistical-literacy-that-you,https://www.lesswrong.com/posts/DtmFmKm86wPrxqCSg/if-there-was-one-element-of-statistical-literacy-that-you,2016-02-22T19:53:47.523Z,6,6,67,False,False,,enfascination,enfascination,enfascination,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/DtmFmKm86wPrxqCSg/if-there-was-one-element-of-statistical-literacy-that-you
9Ep7bNRQZhh5QNKft,The map of global catastrophic risks connected with biological weapons and genetic engineering,the-map-of-global-catastrophic-risks-connected-with,https://www.lesswrong.com/posts/9Ep7bNRQZhh5QNKft/the-map-of-global-catastrophic-risks-connected-with,2016-02-22T11:18:44.479Z,18,13,21,False,False,,turchin,turchin,turchin,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/9Ep7bNRQZhh5QNKft/the-map-of-global-catastrophic-risks-connected-with
CkiNuQEi27jkgGBqo,Meetup : San Francisco Meetup: Rationality Diary,meetup-san-francisco-meetup-rationality-diary-0,https://www.lesswrong.com/posts/CkiNuQEi27jkgGBqo/meetup-san-francisco-meetup-rationality-diary-0,2016-02-22T01:37:19.828Z,1,1,0,False,False,,rocurley,rocurley,rocurley,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/CkiNuQEi27jkgGBqo/meetup-san-francisco-meetup-rationality-diary-0
QS3qPZhtJCobG2HX5,"Open Thread Feb 22 - Feb 28, 2016",open-thread-feb-22-feb-28-2016,https://www.lesswrong.com/posts/QS3qPZhtJCobG2HX5/open-thread-feb-22-feb-28-2016,2016-02-21T21:14:17.216Z,10,6,229,False,False,,Elo,elo,Elo,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/QS3qPZhtJCobG2HX5/open-thread-feb-22-feb-28-2016
9PewA7tTCWNwbfagw,Meetup : Saint Petersburg Game meetup,meetup-saint-petersburg-game-meetup,https://www.lesswrong.com/posts/9PewA7tTCWNwbfagw/meetup-saint-petersburg-game-meetup,2016-02-21T20:42:39.323Z,1,1,0,False,False,,AvImd,avimd,AvImd,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/9PewA7tTCWNwbfagw/meetup-saint-petersburg-game-meetup
F7RWmGWurJ9eHyue7,[Link] Using Stories to Teach Human Values to Artificial Agents,link-using-stories-to-teach-human-values-to-artificial,https://www.lesswrong.com/posts/F7RWmGWurJ9eHyue7/link-using-stories-to-teach-human-values-to-artificial,2016-02-21T20:07:47.994Z,4,2,4,False,False,,Gunnar_Zarncke,gunnar_zarncke,Gunnar_Zarncke,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/F7RWmGWurJ9eHyue7/link-using-stories-to-teach-human-values-to-artificial
hgpGbepiNzHMBDHcF,The Talos Principle,the-talos-principle,https://www.lesswrong.com/posts/hgpGbepiNzHMBDHcF/the-talos-principle,2016-02-21T19:37:35.513Z,3,11,8,False,False,,kranalee,kranalee,kranalee,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/hgpGbepiNzHMBDHcF/the-talos-principle
9GumD8cbnXdLsxFMM,How we will be measured,how-we-will-be-measured,https://www.lesswrong.com/posts/9GumD8cbnXdLsxFMM/how-we-will-be-measured,2016-02-21T03:00:00.000Z,21,10,0,False,False,https://mindingourway.com/how-we-will-be-measured/,So8res,so8res,So8res,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/9GumD8cbnXdLsxFMM/how-we-will-be-measured
6KsMnZnkkqKBCaSQg,"The Pink Sparkly Ball Thing (Use unique, non-obvious terms for nuanced concepts)",the-pink-sparkly-ball-thing-use-unique-non-obvious-terms-for,https://www.lesswrong.com/posts/6KsMnZnkkqKBCaSQg/the-pink-sparkly-ball-thing-use-unique-non-obvious-terms-for,2016-02-20T23:25:16.034Z,36,23,14,False,False,,malcolmocean,malcolmocean,MalcolmOcean,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/6KsMnZnkkqKBCaSQg/the-pink-sparkly-ball-thing-use-unique-non-obvious-terms-for
S62QaEjmsSQvJ2sdS,"Thyroid Hormones, Chronic Fatigue and Fibromyalgia: A Hypothesis and a Proposed Experiment",thyroid-hormones-chronic-fatigue-and-fibromyalgia-a,https://www.lesswrong.com/posts/S62QaEjmsSQvJ2sdS/thyroid-hormones-chronic-fatigue-and-fibromyalgia-a,2016-02-20T23:20:18.665Z,10,8,36,False,False,,johnlawrenceaspden,johnlawrenceaspden,johnlawrenceaspden,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/S62QaEjmsSQvJ2sdS/thyroid-hormones-chronic-fatigue-and-fibromyalgia-a
WR7y3Nsquj9ExjPeB,"Meetup : London rationalish meetup, 2016-02-21",meetup-london-rationalish-meetup-2016-02-21,https://www.lesswrong.com/posts/WR7y3Nsquj9ExjPeB/meetup-london-rationalish-meetup-2016-02-21,2016-02-20T14:09:42.635Z,2,1,1,False,False,,philh,philh,philh,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/WR7y3Nsquj9ExjPeB/meetup-london-rationalish-meetup-2016-02-21
iKFFNkiez8Xs8hoAQ,Weekly LW Meetups,weekly-lw-meetups-86,https://www.lesswrong.com/posts/iKFFNkiez8Xs8hoAQ/weekly-lw-meetups-86,2016-02-19T16:50:30.754Z,2,2,0,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/iKFFNkiez8Xs8hoAQ/weekly-lw-meetups-86
T35wcsdu8zf6eCJpS,Weekly LW Meetups,weekly-lw-meetups-115,https://www.lesswrong.com/posts/T35wcsdu8zf6eCJpS/weekly-lw-meetups-115,2016-02-19T14:46:11.235Z,1,1,0,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/T35wcsdu8zf6eCJpS/weekly-lw-meetups-115
v79yWYYfEw8unaQsd,[spoilers] EY's “A Girl Corrupted...?!” new story is an allegorical study of quantum immortality?,spoilers-ey-s-a-girl-corrupted-new-story-is-an-allegorical,https://www.lesswrong.com/posts/v79yWYYfEw8unaQsd/spoilers-ey-s-a-girl-corrupted-new-story-is-an-allegorical,2016-02-19T11:02:33.568Z,6,10,23,False,False,,Algernoq,algernoq,Algernoq,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/v79yWYYfEw8unaQsd/spoilers-ey-s-a-girl-corrupted-new-story-is-an-allegorical
JGTkiAqJAiwpecQS9,Meetup : Less Wrong NH Meetup,meetup-less-wrong-nh-meetup-6,https://www.lesswrong.com/posts/JGTkiAqJAiwpecQS9/meetup-less-wrong-nh-meetup-6,2016-02-19T05:12:50.610Z,1,1,0,False,False,,Tuk,tuk,Tuk,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/JGTkiAqJAiwpecQS9/meetup-less-wrong-nh-meetup-6
pRRsfJRcNX8evgPjR,Posting to Main currently disabled,posting-to-main-currently-disabled,https://www.lesswrong.com/posts/pRRsfJRcNX8evgPjR/posting-to-main-currently-disabled,2016-02-19T03:55:08.370Z,37,25,7,False,False,,Vaniver,vaniver,Vaniver,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/pRRsfJRcNX8evgPjR/posting-to-main-currently-disabled
wDrZjJ9tpg6BrN4Jq,LINK: Videogame with a very detailed simulated universe,link-videogame-with-a-very-detailed-simulated-universe,https://www.lesswrong.com/posts/wDrZjJ9tpg6BrN4Jq/link-videogame-with-a-very-detailed-simulated-universe,2016-02-19T03:04:56.381Z,6,3,22,False,False,,polymathwannabe,polymathwannabe,polymathwannabe,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/wDrZjJ9tpg6BrN4Jq/link-videogame-with-a-very-detailed-simulated-universe
5bd75cc58225bf06703750d7,Notes from a conversation on act-based and goal-directed systems,notes-from-a-conversation-on-act-based-and-goal-directed-systems,https://www.lesswrong.com/posts/5bd75cc58225bf06703750d7/notes-from-a-conversation-on-act-based-and-goal-directed-systems,2016-02-19T00:42:29.000Z,6,4,50,False,False,,jessica.liu.taylor,jessica-liu-taylor,jessicata,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/5bd75cc58225bf06703750d7/notes-from-a-conversation-on-act-based-and-goal-directed-systems
HjdWkx6oJadQNageG,Meetup : San Antonio Meetup,meetup-san-antonio-meetup-9,https://www.lesswrong.com/posts/HjdWkx6oJadQNageG/meetup-san-antonio-meetup-9,2016-02-18T21:52:59.541Z,1,1,0,False,False,,Bryan-san,bryan-san,Bryan-san,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/HjdWkx6oJadQNageG/meetup-san-antonio-meetup-9
9pugkoBi67jucgNab,"Goal completion: noise, errors, bias, prejudice, preference and complexity",goal-completion-noise-errors-bias-prejudice-preference-and,https://www.lesswrong.com/posts/9pugkoBi67jucgNab/goal-completion-noise-errors-bias-prejudice-preference-and,2016-02-18T14:37:16.564Z,10,7,10,False,False,,Stuart_Armstrong,stuart_armstrong,Stuart_Armstrong,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/9pugkoBi67jucgNab/goal-completion-noise-errors-bias-prejudice-preference-and
WNju6KcCqxrszgeS9,"Meetup : Moscow meetup: Hamming circle, Fallacymania, Tower of Chaos",meetup-moscow-meetup-hamming-circle-fallacymania-tower-of,https://www.lesswrong.com/posts/WNju6KcCqxrszgeS9/meetup-moscow-meetup-hamming-circle-fallacymania-tower-of,2016-02-18T12:06:24.651Z,1,1,0,False,False,,berekuk,slava-matyukhin,Slava Matyukhin,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/WNju6KcCqxrszgeS9/meetup-moscow-meetup-hamming-circle-fallacymania-tower-of
K7RmJ3vqCNemvxYmF,Meetup : Baltimore Area Meetup: Futurology / Open Discussion,meetup-baltimore-area-meetup-futurology-open-discussion,https://www.lesswrong.com/posts/K7RmJ3vqCNemvxYmF/meetup-baltimore-area-meetup-futurology-open-discussion,2016-02-17T20:24:48.533Z,1,1,0,False,False,,iarwain1,iarwain1,iarwain1,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/K7RmJ3vqCNemvxYmF/meetup-baltimore-area-meetup-futurology-open-discussion
q3LjZtytvLkTjJw85,The ethics of eating meat,the-ethics-of-eating-meat,https://www.lesswrong.com/posts/q3LjZtytvLkTjJw85/the-ethics-of-eating-meat,2016-02-17T19:03:38.689Z,15,21,59,False,False,,,,,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/q3LjZtytvLkTjJw85/the-ethics-of-eating-meat
5bd75cc58225bf06703750d6,A scheme for safely handling a mixture of good and bad predictors,a-scheme-for-safely-handling-a-mixture-of-good-and-bad-predictors,https://www.lesswrong.com/posts/5bd75cc58225bf06703750d6/a-scheme-for-safely-handling-a-mixture-of-good-and-bad-predictors,2016-02-17T05:35:55.000Z,0,0,3,False,False,,jessica.liu.taylor,jessica-liu-taylor,jessicata,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/5bd75cc58225bf06703750d6/a-scheme-for-safely-handling-a-mixture-of-good-and-bad-predictors
YWdbwHjKbt6w2ooXY,Critique on my attempt to teach rationality,critique-on-my-attempt-to-teach-rationality,https://www.lesswrong.com/posts/YWdbwHjKbt6w2ooXY/critique-on-my-attempt-to-teach-rationality,2016-02-17T04:17:35.448Z,4,6,12,False,False,,Bound_up,bound_up,Bound_up,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/YWdbwHjKbt6w2ooXY/critique-on-my-attempt-to-teach-rationality
unCLAbgYFo59GTitG,The Value of Those in Effective Altruism,the-value-of-those-in-effective-altruism,https://www.lesswrong.com/posts/unCLAbgYFo59GTitG/the-value-of-those-in-effective-altruism,2016-02-17T00:59:34.180Z,18,20,14,False,False,,Gleb_Tsipursky,gleb_tsipursky,Gleb_Tsipursky,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/unCLAbgYFo59GTitG/the-value-of-those-in-effective-altruism
5bd75cc58225bf06703750d5,A possible training procedure for human-imitators,a-possible-training-procedure-for-human-imitators,https://www.lesswrong.com/posts/5bd75cc58225bf06703750d5/a-possible-training-procedure-for-human-imitators,2016-02-16T22:43:52.000Z,4,2,4,False,False,,jessica.liu.taylor,jessica-liu-taylor,jessicata,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/5bd75cc58225bf06703750d5/a-possible-training-procedure-for-human-imitators
AMZzKCjRw4jwpCjRP,"Meetup : Games in Kocherga club: FallacyMania, Tower of Chaos, Training game",meetup-games-in-kocherga-club-fallacymania-tower-of-chaos,https://www.lesswrong.com/posts/AMZzKCjRw4jwpCjRP/meetup-games-in-kocherga-club-fallacymania-tower-of-chaos,2016-02-16T20:41:12.529Z,2,2,0,False,False,,Alexander230,alexander230,Alexander230,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/AMZzKCjRw4jwpCjRP/meetup-games-in-kocherga-club-fallacymania-tower-of-chaos
gFNjffwXGsgzimP2x,Meetup : Moscow 2nd LW group meetup,meetup-moscow-2nd-lw-group-meetup,https://www.lesswrong.com/posts/gFNjffwXGsgzimP2x/meetup-moscow-2nd-lw-group-meetup,2016-02-16T20:34:54.085Z,2,2,0,False,False,,Alexander230,alexander230,Alexander230,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/gFNjffwXGsgzimP2x/meetup-moscow-2nd-lw-group-meetup
pgmbPGbATsbPBaMWB,"Should we admit it when a person/group is ""better"" than another person/group?",should-we-admit-it-when-a-person-group-is-better-than,https://www.lesswrong.com/posts/pgmbPGbATsbPBaMWB/should-we-admit-it-when-a-person-group-is-better-than,2016-02-16T09:43:48.330Z,-3,14,64,False,False,,adamzerner,adamzerner,Adam Zerner,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/pgmbPGbATsbPBaMWB/should-we-admit-it-when-a-person-group-is-better-than
6z2BJBhmLMqBzZahg,Meetup : MelbLW Social Meetup: Feb 2016,meetup-melblw-social-meetup-feb-2016,https://www.lesswrong.com/posts/6z2BJBhmLMqBzZahg/meetup-melblw-social-meetup-feb-2016,2016-02-16T08:27:36.873Z,2,2,0,False,False,,Maelin,maelin,Maelin,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/6z2BJBhmLMqBzZahg/meetup-melblw-social-meetup-feb-2016
WhR5uTMb3vaTyXWMq,"Meetup : Washington, D.C.: Fun & Games",meetup-washington-d-c-fun-and-games-9,https://www.lesswrong.com/posts/WhR5uTMb3vaTyXWMq/meetup-washington-d-c-fun-and-games-9,2016-02-16T02:48:51.413Z,3,2,0,False,False,,RobinZ,robinz,RobinZ,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/WhR5uTMb3vaTyXWMq/meetup-washington-d-c-fun-and-games-9
XpuLPbHqmpgCEpMHz,Meetup : LW Cologne meetup,meetup-lw-cologne-meetup-2,https://www.lesswrong.com/posts/XpuLPbHqmpgCEpMHz/meetup-lw-cologne-meetup-2,2016-02-15T23:49:46.979Z,2,2,0,False,False,,EGI,egi,EGI,,Error: 403 Client Error: Forbidden for url: https://www.lesswrong.com/posts/XpuLPbHqmpgCEpMHz/meetup-lw-cologne-meetup-2
